unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759745794.55,121634.55,619486.6653243542,5806172.784614829,41.55,1
1759745794.751,121634.751,619485.7578076718,5806171.777898644,41.55,1
1759745794.953,121634.953,619485.5339285455,5806172.0105611095,41.56,1
1759745795.169,121635.169,619485.1623673361,5806172.276091058,41.59,1
1759745795.371,121635.371,619484.9823673362,5806172.276091058,41.58,1
1759745795.573,121635.573,619486.1283549534,5806172.304084622,41.58,1
1759745795.776,121635.776,619487.6940586389,5806172.001698621,41.58,1
1759745795.979,121635.979,619487.6208640808,5806172.131472178,41.57,1
1759745796.194,121636.194,619486.8336071821,5806172.021020911,41.58,1
1759745796.395,121636.395,619487.5939326823,5806171.4110367885,41.59,1
1759745796.6,121636.6,619488.0745554927,5806170.972615066,41.58,1
1759745796.803,121636.803,619486.6261746549,5806171.128323138,41.57,1
1759745797.006,121637.006,619488.3602646417,5806171.775901986,41.59,1
1759745797.222,121637.222,619487.6899896255,5806172.148328405,41.59,1
1759745797.424,121637.424,619486.4851862779,5806171.752180753,41.57,1
1759745797.626,121637.626,619487.9381398228,5806171.101525795,41.57,1
1759745797.829,121637.829,619486.6283770489,5806170.910932558,41.57,1
1759745798.031,121638.031,619488.9646420131,5806172.3881738465,41.58,1
1759745798.235,121638.235,619488.7988542533,5806172.255164418,41.57,1
1759745798.452,121638.452,619487.9614932297,5806171.255788168,41.55,1
1759745798.654,121638.654,619488.6706283673,5806171.141203743,41.55,1
1759745798.855,121638.855,619487.7349989415,5806171.477502947,41.55,1
1759745799.059,121639.059,619488.3005842634,5806172.383403948,41.59,1
1759745799.26,121639.26,619488.050984886,5806171.922593227,41.56,1
1759745799.463,121639.463,619488.6531434784,5806171.4312977325,41.56,1
1759745799.68,121639.68,619487.7917413119,5806172.2892378485,41.54,1
1759745799.881,121639.881,619485.3242029597,5806173.557277412,41.52,1
1759745800.083,121640.083,619486.6032221873,5806173.029616166,41.54,1
1759745800.287,121640.287,619484.9526816101,5806171.7695734175,41.49,1
1759745800.488,121640.488,619485.5804278353,5806172.849885955,41.52,1
1759745800.694,121640.694,619485.5447639,5806172.821332998,41.53,1
1759745800.912,121640.912,619483.158279949,5806172.310000719,41.51,1
1759745801.113,121641.113,619484.6616291418,5806172.688104748,41.5,1
1759745801.313,121641.313,619483.5838074832,5806172.712603215,41.5,1
1759745801.515,121641.515,619483.1775183342,5806172.9926334405,41.5,1
1759745801.719,121641.719,619483.8494363953,5806172.040783254,41.49,1
1759745801.935,121641.935,619483.2699147251,5806171.562295181,41.5,1
1759745802.137,121642.137,619483.19072737,5806171.714448703,41.5,1
1759745802.34,121642.34,619483.0284230952,5806172.140151523,41.53,1
1759745802.542,121642.542,619482.9379996735,5806172.831974847,41.51,1
1759745802.542,121642.542,619482.8245920333,5806172.480446103,41.51,1
1759745802.744,121642.744,619481.9270397773,5806172.423666439,41.5,1
1759745802.961,121642.961,619483.1541256079,5806172.03984155,41.52,1
1759745803.163,121643.163,619482.0164976493,5806171.136614158,41.51,1
1759745803.365,121643.365,619481.2719260332,5806170.315650227,41.5,1
1759745803.567,121643.567,619481.1319260333,5806170.295650226,41.52,1
1759745803.77,121643.77,619481.2377933731,5806172.01434951,41.56,1
1759745803.973,121643.973,619479.8799487888,5806172.20403163,41.56,1
1759745804.19,121644.19,619479.6971245048,5806172.181805212,41.52,1
1759745804.392,121644.392,619480.7280758542,5806171.134626146,41.5,1
1759745804.593,121644.593,619480.9564935707,5806171.285430301,41.53,1
1759745804.798,121644.798,619480.3905366729,5806170.246905329,41.55,1
1759745805.0,121645.0,619480.91570876,5806168.965957444,41.53,1
1759745805.217,121645.217,619479.3623588574,5806169.53494167,41.54,1
1759745805.42,121645.42,619477.8321386847,5806171.11702089,41.54,1
1759745805.622,121645.622,619478.8460826199,5806170.876238083,41.53,1
1759745805.824,121645.824,619478.4547948353,5806170.116702784,41.53,1
1759745806.025,121646.025,619479.1849140547,5806170.17989209,41.51,1
1759745806.229,121646.229,619479.3045491794,5806171.329417676,41.51,1
1759745806.448,121646.448,619478.9351936572,5806172.874448784,41.55,1
1759745806.651,121646.651,619479.0802063302,5806172.367126837,41.54,1
1759745806.852,121646.852,619477.9701922397,5806172.326749139,41.54,1
1759745807.054,121647.054,619478.1933799244,5806172.529440246,41.53,1
1759745807.256,121647.256,619477.4217991806,5806172.379405924,41.55,1
1759745807.458,121647.458,619478.2113328783,5806172.9160002135,41.54,1
1759745807.675,121647.675,619477.4795615174,5806173.025028776,41.54,1
1759745807.878,121647.878,619477.7057322408,5806171.572541232,41.53,1
1759745808.079,121648.079,619477.0564787008,5806171.448290652,41.53,1
1759745808.28,121648.28,619477.7061243383,5806172.594058476,41.54,1
1759745808.484,121648.484,619478.2060877791,5806172.4040351305,41.57,1
1759745808.701,121648.701,619476.5049862195,5806171.534911212,41.53,1
1759745808.905,121648.905,619477.6149825014,5806171.318864052,41.55,1
1759745809.107,121649.107,619476.568273374,5806173.054819531,41.57,1
1759745809.309,121649.309,619476.7437972114,5806173.212243676,41.56,1
1759745809.511,121649.511,619476.0522927846,5806172.253242587,41.54,1
1759745809.713,121649.713,619475.7975057355,5806172.10705315,41.55,1
1759745809.931,121649.931,619476.0768103561,5806172.6078064665,41.55,1
1759745810.133,121650.133,619475.5796943546,5806172.192341865,41.55,1
1759745810.337,121650.337,619476.2965225228,5806171.395668975,41.54,1
1759745810.539,121650.539,619475.3548822977,5806171.24762877,41.55,1
1759745810.741,121650.741,619475.4792700969,5806171.22987218,41.52,1
1759745810.741,121650.741,619475.3261309848,5806170.343705892,41.52,1
1759745810.944,121650.944,619475.5212290494,5806169.729659145,41.52,1
1759745811.159,121651.159,619475.5588475048,5806169.506980116,41.52,1
1759745811.363,121651.363,619475.7874584203,5806169.664933079,41.53,1
1759745811.565,121651.565,619475.6074584202,5806169.674933079,41.53,1
1759745811.766,121651.766,619475.8410138541,5806169.114292905,41.52,1
1759745811.969,121651.969,619474.6195499634,5806169.0779497,41.53,1
1759745812.173,121652.173,619474.6473665705,5806169.619529258,41.53,1
1759745812.39,121652.39,619474.4321556448,5806169.309904556,41.53,1
1759745812.592,121652.592,619474.1321556447,5806169.379904556,41.52,1
1759745812.796,121652.796,619473.9931968522,5806169.397806844,41.53,1
1759745812.998,121652.998,619474.830618834,5806169.638768203,41.53,1
1759745813.2,121653.2,619473.6625206167,5806169.657004069,41.52,1
1759745813.404,121653.404,619473.2332145148,5806170.39507536,41.52,1
1759745813.619,121653.619,619472.4950417486,5806170.604508443,41.53,1
1759745813.823,121653.823,619472.4951243739,5806169.834995522,41.51,1
1759745814.026,121654.026,619472.2285155315,5806169.014547772,41.51,1
1759745814.227,121654.227,619472.2384425802,5806168.971114902,41.53,1
1759745814.429,121654.429,619471.5287409022,5806169.888001112,41.53,1
1759745814.645,121654.645,619471.2000134035,5806170.636649792,41.53,1
1759745814.847,121654.847,619471.6299755168,5806169.514083557,41.52,1
1759745815.049,121655.049,619471.2860248191,5806168.233267006,41.52,1
1759745815.253,121655.253,619470.9649342744,5806169.413308442,41.55,1
1759745815.457,121655.457,619470.4024335607,5806171.75590875,41.58,1
1759745815.659,121655.659,619471.8959091393,5806172.655220008,41.57,1
1759745815.878,121655.878,619471.0024991662,5806171.319939949,41.54,1
1759745816.082,121656.082,619471.490451722,5806170.286480975,41.54,1
1759745816.287,121656.287,619471.320451722,5806170.316480976,41.56,1
1759745816.493,121656.493,619472.786276048,5806172.226353907,41.57,1
1759745816.696,121656.696,619472.8989363837,5806175.921250894,41.57,1
1759745816.898,121656.898,619473.5868042674,5806173.0619623205,41.55,1
1759745817.101,121657.101,619474.6394140918,5806170.907247251,41.5,1
1759745817.303,121657.303,619475.2541604253,5806171.775703265,41.54,1
1759745817.504,121657.504,619474.8438430057,5806172.579977293,41.56,1
1759745817.722,121657.722,619474.1631631199,5806171.943149412,41.52,1
1759745817.925,121657.925,619474.0418490225,5806170.481160197,41.53,1
1759745818.127,121658.127,619473.8991148326,5806171.483554645,41.54,1
1759745818.331,121658.331,619473.2103735376,5806172.39646341,41.51,1
1759745818.535,121658.535,619472.547704301,5806170.997677431,41.51,1
1759745818.739,121658.739,619472.6739922608,5806171.389665365,41.52,1
1759745818.942,121658.942,619472.7774977655,5806172.2400894845,41.51,1
1759745818.942,121658.942,619472.6767436209,5806171.1569646215,41.51,1
1759745819.146,121659.146,619472.7025873337,5806171.650051819,41.49,1
1759745819.352,121659.352,619472.6581282585,5806172.041010345,41.51,1
1759745819.555,121659.555,619472.6581282585,5806172.051010345,41.5,1
1759745819.758,121659.758,619472.6581282585,5806172.071010346,41.49,1
1759745819.976,121659.976,619472.6581282585,5806172.051010345,41.5,1
1759745820.179,121700.179,619472.6581282585,5806172.051010345,41.5,1
1759745820.381,121700.381,619472.6581282585,5806172.051010345,41.5,1
1759745820.583,121700.583,619472.6581282585,5806172.051010345,41.5,1
1759745820.787,121700.787,619472.6581282585,5806172.051010345,41.5,1
1759745820.989,121700.989,619472.6581282585,5806172.051010345,41.5,1
1759745821.193,121701.193,619472.6581282585,5806172.051010345,41.5,1
1759745821.412,121701.412,619472.6581282585,5806172.051010345,41.5,1
1759745821.615,121701.615,619472.6581282585,5806172.051010345,41.5,1
1759745821.82,121701.82,619472.6581282585,5806172.051010345,41.5,1
1759745822.025,121702.025,619472.6581282585,5806172.051010345,41.5,1
1759745822.229,121702.229,619472.6581282585,5806172.051010345,41.5,1
1759745822.432,121702.432,619472.6581282585,5806172.051010345,41.5,1
1759745822.634,121702.634,619472.6581282585,5806172.051010345,41.5,1
1759745822.836,121702.836,619472.6581282585,5806172.051010345,41.5,1
